timestamp,attack_type,stride_category,status,predicted_label,detected,latency_ms
2026-04-23T06:53:21.568955,Backdoor,Elevation of Privilege,ok,DDoS_ICMP,yes,0.09
2026-04-23T06:53:22.184276,DDoS_HTTP,Denial of Service,ok,Ransomware,yes,0.18
2026-04-23T06:53:22.809816,MITM,Tampering,ok,DDoS_TCP,yes,0.12
2026-04-23T06:53:23.423867,Port_Scanning,Information Disclosure,ok,Ransomware,yes,0.27
2026-04-23T06:53:24.035620,SQL_injection,Tampering,ok,DDoS_TCP,yes,0.13
2026-04-23T06:53:24.674869,XSS,Tampering,ok,Fingerprinting,yes,0.31
2026-04-23T06:53:25.284293,Backdoor,Elevation of Privilege,ok,DDoS_ICMP,yes,0.14
2026-04-23T06:53:25.912811,DDoS_HTTP,Denial of Service,ok,MITM,yes,0.22
2026-04-23T06:53:26.548744,MITM,Tampering,ok,Uploading,yes,0.50
2026-04-23T06:53:27.185774,Port_Scanning,Information Disclosure,ok,MITM,yes,0.20
2026-04-23T06:53:27.797340,SQL_injection,Tampering,ok,Normal,no,0.12
2026-04-23T06:53:28.403031,XSS,Tampering,ok,Uploading,yes,0.11
2026-04-23T06:53:29.029110,Backdoor,Elevation of Privilege,ok,DDoS_TCP,yes,0.44
2026-04-23T06:53:29.654493,DDoS_HTTP,Denial of Service,ok,Vulnerability_scanner,yes,0.22
2026-04-23T06:53:30.272640,MITM,Tampering,ok,Password,yes,0.23
2026-04-23T06:53:30.893984,Port_Scanning,Information Disclosure,ok,Port_Scanning,yes,0.18
2026-04-23T06:53:31.521850,SQL_injection,Tampering,ok,Uploading,yes,0.13
2026-04-23T06:53:32.152944,XSS,Tampering,ok,DDoS_TCP,yes,0.25
2026-04-23T06:53:32.775213,Backdoor,Elevation of Privilege,ok,Fingerprinting,yes,0.12
2026-04-23T06:53:33.402629,DDoS_HTTP,Denial of Service,ok,DDoS_UDP,yes,0.10
2026-04-23T06:53:34.009602,MITM,Tampering,ok,Ransomware,yes,0.58
2026-04-23T06:53:34.652250,Port_Scanning,Information Disclosure,ok,Password,yes,0.32
2026-04-23T06:53:35.272281,SQL_injection,Tampering,ok,Normal,no,0.16
2026-04-23T06:53:35.894784,XSS,Tampering,ok,Password,yes,0.20
2026-04-23T06:53:36.530632,Backdoor,Elevation of Privilege,ok,XSS,yes,0.37
2026-04-23T06:53:37.157461,DDoS_HTTP,Denial of Service,ok,DDoS_HTTP,yes,0.28
2026-04-23T06:53:37.787680,MITM,Tampering,ok,DDoS_HTTP,yes,0.29
2026-04-23T06:53:38.401345,Port_Scanning,Information Disclosure,ok,DDoS_TCP,yes,0.15
2026-04-23T06:53:39.025051,SQL_injection,Tampering,ok,MITM,yes,0.22
2026-04-23T06:53:39.651785,XSS,Tampering,ok,Ransomware,yes,0.31
2026-04-23T06:53:40.438390,Backdoor,Elevation of Privilege,ok,Uploading,yes,0.19
2026-04-23T06:53:41.064069,DDoS_HTTP,Denial of Service,ok,DDoS_ICMP,yes,0.34
2026-04-23T06:53:41.672088,MITM,Tampering,ok,DDoS_ICMP,yes,0.35
