timestamp,attack_type,stride_category,status,predicted_label,detected,latency_ms
2026-04-23T06:55:36.990198,Backdoor,Elevation of Privilege,ok,Vulnerability_scanner,yes,0.40
2026-04-23T06:55:37.619972,DDoS_HTTP,Denial of Service,ok,DDoS_HTTP,yes,0.33
2026-04-23T06:55:38.244516,MITM,Tampering,ok,DDoS_TCP,yes,0.16
2026-04-23T06:55:38.870112,Port_Scanning,Information Disclosure,ok,Ransomware,yes,0.14
2026-04-23T06:55:39.486885,SQL_injection,Tampering,ok,Password,yes,0.11
2026-04-23T06:55:40.108978,XSS,Tampering,ok,DDoS_UDP,yes,0.08
2026-04-23T06:55:40.866220,Backdoor,Elevation of Privilege,ok,Fingerprinting,yes,0.13
2026-04-23T06:55:41.479182,DDoS_HTTP,Denial of Service,ok,Fingerprinting,yes,0.15
2026-04-23T06:55:42.109227,MITM,Tampering,ok,DDoS_UDP,yes,0.32
2026-04-23T06:55:42.746730,Port_Scanning,Information Disclosure,ok,Normal,no,0.21
2026-04-23T06:55:43.375735,SQL_injection,Tampering,ok,Port_Scanning,yes,0.38
2026-04-23T06:55:43.998332,XSS,Tampering,ok,Vulnerability_scanner,yes,0.34
2026-04-23T06:55:44.616003,Backdoor,Elevation of Privilege,ok,Uploading,yes,0.31
2026-04-23T06:55:45.238533,DDoS_HTTP,Denial of Service,ok,DDoS_UDP,yes,0.16
2026-04-23T06:55:45.857962,MITM,Tampering,ok,Port_Scanning,yes,0.07
2026-04-23T06:55:46.467566,Port_Scanning,Information Disclosure,ok,DDoS_UDP,yes,0.17
2026-04-23T06:55:47.097924,SQL_injection,Tampering,ok,DDoS_HTTP,yes,0.10
2026-04-23T06:55:47.731410,XSS,Tampering,ok,XSS,yes,0.21
2026-04-23T06:55:48.350831,Backdoor,Elevation of Privilege,ok,SQL_injection,yes,0.16
2026-04-23T06:55:48.959683,DDoS_HTTP,Denial of Service,ok,Port_Scanning,yes,0.08
2026-04-23T06:55:49.581666,MITM,Tampering,ok,Fingerprinting,yes,0.14
2026-04-23T06:55:50.219816,Port_Scanning,Information Disclosure,ok,Vulnerability_scanner,yes,0.15
2026-04-23T06:55:50.847572,SQL_injection,Tampering,ok,DDoS_ICMP,yes,0.27
2026-04-23T06:55:51.459524,XSS,Tampering,ok,Password,yes,0.12
2026-04-23T06:55:52.074213,Backdoor,Elevation of Privilege,ok,MITM,yes,0.33
2026-04-23T06:55:52.701583,DDoS_HTTP,Denial of Service,ok,DDoS_HTTP,yes,0.25
2026-04-23T06:55:53.332510,MITM,Tampering,ok,Fingerprinting,yes,0.16
2026-04-23T06:55:53.943369,Port_Scanning,Information Disclosure,ok,DDoS_ICMP,yes,0.08
2026-04-23T06:55:54.559050,SQL_injection,Tampering,ok,Backdoor,yes,0.11
2026-04-23T06:55:55.174922,XSS,Tampering,ok,SQL_injection,yes,0.19
2026-04-23T06:55:55.791416,Backdoor,Elevation of Privilege,ok,Uploading,yes,0.16
2026-04-23T06:55:56.414886,DDoS_HTTP,Denial of Service,ok,Ransomware,yes,0.23
2026-04-23T06:55:57.042290,MITM,Tampering,ok,DDoS_TCP,yes,0.48
2026-04-23T06:55:57.677584,Port_Scanning,Information Disclosure,ok,MITM,yes,0.32
2026-04-23T06:55:58.313851,SQL_injection,Tampering,ok,Fingerprinting,yes,0.33
2026-04-23T06:55:58.951096,XSS,Tampering,ok,MITM,yes,0.21
2026-04-23T06:55:59.566908,Backdoor,Elevation of Privilege,ok,Normal,no,0.10
2026-04-23T06:56:00.201533,DDoS_HTTP,Denial of Service,ok,XSS,yes,0.12
2026-04-23T06:56:00.822082,MITM,Tampering,ok,Backdoor,yes,0.22
2026-04-23T06:56:01.441426,Port_Scanning,Information Disclosure,ok,DDoS_TCP,yes,0.22
2026-04-23T06:56:02.061280,SQL_injection,Tampering,ok,DDoS_TCP,yes,0.33
2026-04-23T06:56:02.694372,XSS,Tampering,ok,SQL_injection,yes,0.30
