timestamp,attack_type,stride_category,status,predicted_label,detected,latency_ms
2026-04-23T06:48:54.300944,Backdoor,Elevation of Privilege,ok,Vulnerability_scanner,yes,0.53
2026-04-23T06:48:54.918364,DDoS_HTTP,Denial of Service,ok,XSS,yes,2.24
2026-04-23T06:48:55.532948,MITM,Tampering,ok,MITM,yes,0.63
2026-04-23T06:48:56.155059,Port_Scanning,Information Disclosure,ok,DDoS_TCP,yes,1.40
2026-04-23T06:48:56.785979,SQL_injection,Tampering,ok,Vulnerability_scanner,yes,1.28
2026-04-23T06:48:57.428777,XSS,Tampering,ok,XSS,yes,0.89
2026-04-23T06:48:58.053516,Backdoor,Elevation of Privilege,ok,Vulnerability_scanner,yes,1.13
2026-04-23T06:48:58.696794,DDoS_HTTP,Denial of Service,ok,XSS,yes,1.11
2026-04-23T06:48:59.314349,MITM,Tampering,ok,XSS,yes,0.63
2026-04-23T06:48:59.935239,Port_Scanning,Information Disclosure,ok,Vulnerability_scanner,yes,1.33
2026-04-23T06:49:00.543184,SQL_injection,Tampering,ok,XSS,yes,0.55
2026-04-23T06:49:01.170903,XSS,Tampering,ok,XSS,yes,2.09
2026-04-23T06:49:01.808156,Backdoor,Elevation of Privilege,ok,XSS,yes,1.46
2026-04-23T06:49:02.429482,DDoS_HTTP,Denial of Service,ok,XSS,yes,1.26
2026-04-23T06:49:03.035813,MITM,Tampering,ok,MITM,yes,0.49
2026-04-23T06:49:03.666736,Port_Scanning,Information Disclosure,ok,XSS,yes,0.94
2026-04-23T06:49:04.283064,SQL_injection,Tampering,ok,Vulnerability_scanner,yes,0.43
2026-04-23T06:49:04.895402,XSS,Tampering,ok,Vulnerability_scanner,yes,1.26
2026-04-23T06:49:05.505472,Backdoor,Elevation of Privilege,ok,XSS,yes,0.49
2026-04-23T06:49:06.125343,DDoS_HTTP,Denial of Service,ok,XSS,yes,1.14
2026-04-23T06:49:06.753768,MITM,Tampering,ok,Fingerprinting,yes,1.62
2026-04-23T06:49:07.381333,Port_Scanning,Information Disclosure,ok,Vulnerability_scanner,yes,1.15
2026-04-23T06:49:08.008903,SQL_injection,Tampering,ok,XSS,yes,1.85
2026-04-23T06:49:08.753531,XSS,Tampering,ok,XSS,yes,0.55
2026-04-23T06:49:09.367098,Backdoor,Elevation of Privilege,ok,Vulnerability_scanner,yes,0.65
2026-04-23T06:49:09.995390,DDoS_HTTP,Denial of Service,ok,XSS,yes,1.41
2026-04-23T06:49:10.624774,MITM,Tampering,ok,XSS,yes,1.90
2026-04-23T06:49:11.255483,Port_Scanning,Information Disclosure,ok,DDoS_TCP,yes,2.49
2026-04-23T06:49:11.880449,SQL_injection,Tampering,ok,XSS,yes,0.55
2026-04-23T06:49:12.491460,XSS,Tampering,ok,XSS,yes,0.58
2026-04-23T06:49:13.125178,Backdoor,Elevation of Privilege,ok,XSS,yes,0.61
2026-04-23T06:49:13.755915,DDoS_HTTP,Denial of Service,ok,XSS,yes,0.75
2026-04-23T06:49:14.385433,MITM,Tampering,ok,MITM,yes,0.69
2026-04-23T06:49:15.004854,Port_Scanning,Information Disclosure,ok,Vulnerability_scanner,yes,1.62
2026-04-23T06:49:15.623275,SQL_injection,Tampering,ok,XSS,yes,1.65
2026-04-23T06:49:16.255352,XSS,Tampering,ok,XSS,yes,1.70
2026-04-23T06:49:16.875958,Backdoor,Elevation of Privilege,ok,Vulnerability_scanner,yes,1.34
2026-04-23T06:49:17.499299,DDoS_HTTP,Denial of Service,ok,XSS,yes,0.69
2026-04-23T06:49:18.111264,MITM,Tampering,ok,MITM,yes,1.68
2026-04-23T06:49:18.722158,Port_Scanning,Information Disclosure,ok,DDoS_TCP,yes,0.40
2026-04-23T06:49:19.350908,SQL_injection,Tampering,ok,XSS,yes,1.65
2026-04-23T06:49:19.969129,XSS,Tampering,ok,XSS,yes,0.61
2026-04-23T06:49:20.600724,Backdoor,Elevation of Privilege,ok,XSS,yes,0.56
2026-04-23T06:49:21.215160,DDoS_HTTP,Denial of Service,ok,XSS,yes,0.80
2026-04-23T06:49:21.836604,MITM,Tampering,ok,MITM,yes,0.78
