timestamp,source,prediction,label,confidence,latency_ms,cpu_percent,memory_mb,total_requests
2026-04-23T06:48:52.728219,water-sensor,14,XSS,0.9895,5.97,0.0,108.13,1
2026-04-23T06:48:53.850395,water-sensor,14,XSS,0.5299,0.45,3.6,108.13,2
2026-04-23T06:48:54.237633,attacker,13,Vulnerability_scanner,1.0000,0.53,5.2,108.13,3
2026-04-23T06:48:54.858551,attacker,14,XSS,0.9899,2.24,1.6,108.13,4
2026-04-23T06:48:54.981053,water-sensor,13,Vulnerability_scanner,0.7880,1.61,2.1,108.13,5
2026-04-23T06:48:55.472516,attacker,6,MITM,1.0000,0.63,3.1,108.13,6
2026-04-23T06:48:56.086448,attacker,3,DDoS_TCP,0.6173,1.40,1.0,108.13,7
2026-04-23T06:48:56.118799,water-sensor,13,Vulnerability_scanner,0.5179,0.72,8.0,108.13,8
2026-04-23T06:48:56.713827,attacker,13,Vulnerability_scanner,0.9606,1.28,2.3,108.13,9
2026-04-23T06:48:57.233235,water-sensor,14,XSS,0.5299,0.60,2.9,108.13,10
2026-04-23T06:48:57.355886,attacker,14,XSS,0.9963,0.89,2.0,108.13,11
2026-04-23T06:48:57.986488,attacker,13,Vulnerability_scanner,0.9975,1.13,1.0,108.13,12
2026-04-23T06:48:58.363183,water-sensor,14,XSS,0.9725,0.78,4.3,108.26,13
2026-04-23T06:48:58.623555,attacker,14,XSS,0.9899,1.11,1.0,108.26,14
2026-04-23T06:48:59.249885,attacker,14,XSS,0.9963,0.63,2.0,108.26,15
2026-04-23T06:48:59.495791,water-sensor,14,XSS,0.6423,1.47,1.5,108.26,16
2026-04-23T06:48:59.872924,attacker,13,Vulnerability_scanner,0.8907,1.33,1.0,108.26,17
2026-04-23T06:49:00.487088,attacker,14,XSS,0.9422,0.55,2.2,108.26,18
2026-04-23T06:49:00.613708,water-sensor,14,XSS,0.9899,1.86,2.0,108.26,19
2026-04-23T06:49:01.107815,attacker,14,XSS,0.6385,2.09,14.5,108.26,20
2026-04-23T06:49:01.738892,attacker,14,XSS,0.5288,1.46,9.5,108.26,21
2026-04-23T06:49:01.751658,water-sensor,14,XSS,0.6779,0.60,0.0,108.26,22
2026-04-23T06:49:02.366862,attacker,14,XSS,0.9899,1.26,3.3,108.26,23
2026-04-23T06:49:02.868692,water-sensor,14,XSS,0.5368,0.89,1.5,108.26,24
2026-04-23T06:49:02.979856,attacker,6,MITM,1.0000,0.49,3.4,108.26,25
2026-04-23T06:49:03.600664,attacker,14,XSS,0.9883,0.94,3.4,108.26,26
2026-04-23T06:49:03.988381,water-sensor,14,XSS,0.9879,1.66,1.0,108.26,27
2026-04-23T06:49:04.219390,attacker,13,Vulnerability_scanner,1.0000,0.43,7.4,108.26,28
2026-04-23T06:49:04.836892,attacker,13,Vulnerability_scanner,0.8954,1.26,1.4,108.26,29
2026-04-23T06:49:05.110808,water-sensor,14,XSS,0.5312,0.98,1.4,108.26,30
2026-04-23T06:49:05.449961,attacker,14,XSS,0.9963,0.49,2.6,108.26,31
2026-04-23T06:49:06.056736,attacker,14,XSS,0.9902,1.14,1.4,108.26,32
2026-04-23T06:49:06.231507,water-sensor,14,XSS,0.5336,0.35,7.1,108.26,33
2026-04-23T06:49:06.697240,attacker,5,Fingerprinting,1.0000,1.62,0.5,108.26,34
2026-04-23T06:49:07.315089,attacker,13,Vulnerability_scanner,0.8897,1.15,1.8,108.26,35
2026-04-23T06:49:07.350408,water-sensor,14,XSS,0.9896,0.61,0.0,108.26,36
2026-04-23T06:49:07.945895,attacker,14,XSS,0.5338,1.85,1.5,108.26,37
2026-04-23T06:49:08.583939,water-sensor,14,XSS,0.5367,0.67,3.9,108.26,38
2026-04-23T06:49:08.686654,attacker,14,XSS,0.5256,0.55,1.2,108.26,39
2026-04-23T06:49:09.307437,attacker,13,Vulnerability_scanner,0.9999,0.65,1.4,108.26,40
