timestamp,status,label,is_attack,latency_ms
2026-04-23T06:48:52.798602,ok,XSS,yes,5.97
2026-04-23T06:48:53.908747,ok,XSS,yes,0.45
2026-04-23T06:48:55.054165,ok,Vulnerability_scanner,yes,1.61
2026-04-23T06:48:56.180574,ok,Vulnerability_scanner,yes,0.72
2026-04-23T06:48:57.297007,ok,XSS,yes,0.60
2026-04-23T06:48:58.426022,ok,XSS,yes,0.78
2026-04-23T06:48:59.551672,ok,XSS,yes,1.47
2026-04-23T06:49:00.686881,ok,XSS,yes,1.86
2026-04-23T06:49:01.814846,ok,XSS,yes,0.60
2026-04-23T06:49:02.928936,ok,XSS,yes,0.89
2026-04-23T06:49:04.050967,ok,XSS,yes,1.66
2026-04-23T06:49:05.177817,ok,XSS,yes,0.98
2026-04-23T06:49:06.299272,ok,XSS,yes,0.35
2026-04-23T06:49:07.404937,ok,XSS,yes,0.61
2026-04-23T06:49:08.641079,ok,XSS,yes,0.67
2026-04-23T06:49:09.769299,ok,Vulnerability_scanner,yes,1.32
2026-04-23T06:49:10.899896,ok,Vulnerability_scanner,yes,0.54
2026-04-23T06:49:12.012808,ok,XSS,yes,1.31
2026-04-23T06:49:13.145429,ok,XSS,yes,1.11
2026-04-23T06:49:14.286653,ok,XSS,yes,1.59
2026-04-23T06:49:15.396246,ok,XSS,yes,0.77
2026-04-23T06:49:16.508332,ok,XSS,yes,0.76
2026-04-23T06:49:17.638195,ok,XSS,yes,1.33
2026-04-23T06:49:18.746847,ok,XSS,yes,0.62
2026-04-23T06:49:19.863782,ok,XSS,yes,1.58
2026-04-23T06:49:20.977154,ok,XSS,yes,1.98
2026-04-23T06:49:22.102189,ok,XSS,yes,2.02
2026-04-23T06:49:23.236023,ok,Vulnerability_scanner,yes,2.20
2026-04-23T06:49:24.363677,ok,Vulnerability_scanner,yes,1.54
2026-04-23T06:49:25.483886,ok,XSS,yes,0.43
2026-04-23T06:49:26.600915,ok,XSS,yes,1.35
2026-04-23T06:49:27.732874,ok,XSS,yes,1.49
2026-04-23T06:49:28.856926,ok,XSS,yes,0.53
2026-04-23T06:49:29.980021,ok,XSS,yes,1.65
2026-04-23T06:49:31.101364,ok,XSS,yes,1.14
2026-04-23T06:49:32.217395,ok,XSS,yes,0.85
2026-04-23T06:49:33.332221,ok,XSS,yes,0.62
2026-04-23T06:49:34.462742,ok,XSS,yes,0.68
2026-04-23T06:49:35.587304,ok,XSS,yes,0.68
2026-04-23T06:49:36.706634,ok,XSS,yes,0.79
2026-04-23T06:49:37.844768,ok,XSS,yes,1.92
2026-04-23T06:49:39.094256,ok,XSS,yes,0.82
2026-04-23T06:49:40.221685,ok,XSS,yes,0.42
2026-04-23T06:49:41.343556,ok,Vulnerability_scanner,yes,0.90
2026-04-23T06:49:42.475000,ok,Vulnerability_scanner,yes,1.93
2026-04-23T06:49:43.611302,ok,XSS,yes,1.78
2026-04-23T06:49:44.736877,ok,XSS,yes,0.45
2026-04-23T06:49:45.864886,ok,XSS,yes,1.78
2026-04-23T06:49:46.984360,ok,XSS,yes,0.79
2026-04-23T06:49:48.101845,ok,XSS,yes,0.83
2026-04-23T06:49:49.239034,ok,XSS,yes,1.12
2026-04-23T06:49:50.357768,ok,XSS,yes,1.26
2026-04-23T06:49:51.488119,ok,XSS,yes,1.88
2026-04-23T06:49:52.609799,ok,XSS,yes,2.23
2026-04-23T06:49:53.733308,ok,XSS,yes,0.34
2026-04-23T06:49:54.862946,ok,Vulnerability_scanner,yes,1.55
2026-04-23T06:49:55.987931,ok,Vulnerability_scanner,yes,0.68
2026-04-23T06:49:57.109808,ok,XSS,yes,1.77
2026-04-23T06:49:58.232201,ok,XSS,yes,0.92
2026-04-23T06:49:59.348692,ok,XSS,yes,1.23
2026-04-23T06:50:00.461596,ok,XSS,yes,1.35
2026-04-23T06:50:01.582356,ok,XSS,yes,1.89
2026-04-23T06:50:02.698462,ok,XSS,yes,0.43
2026-04-23T06:50:03.804560,ok,XSS,yes,0.41
2026-04-23T06:50:04.939176,ok,XSS,yes,0.39
2026-04-23T06:50:06.062527,ok,XSS,yes,2.02
2026-04-23T06:50:07.189116,ok,XSS,yes,1.37
2026-04-23T06:50:08.309226,ok,XSS,yes,1.86
2026-04-23T06:50:09.574471,ok,Vulnerability_scanner,yes,0.61
2026-04-23T06:50:10.705027,ok,XSS,yes,0.56
2026-04-23T06:50:11.844325,ok,XSS,yes,0.47
2026-04-23T06:50:12.945806,ok,XSS,yes,0.40
2026-04-23T06:50:14.089220,ok,XSS,yes,2.44
2026-04-23T06:50:15.232066,ok,Vulnerability_scanner,yes,1.83
2026-04-23T06:50:16.372357,ok,XSS,yes,1.12
2026-04-23T06:50:17.511607,ok,XSS,yes,1.06
2026-04-23T06:50:18.645749,ok,XSS,yes,1.50
2026-04-23T06:50:19.768625,ok,XSS,yes,1.56
2026-04-23T06:50:20.883888,ok,XSS,yes,1.19
2026-04-23T06:50:22.012580,ok,XSS,yes,0.48
2026-04-23T06:50:23.144239,ok,XSS,yes,1.80
2026-04-23T06:50:24.276380,ok,XSS,yes,1.44
2026-04-23T06:50:25.412930,ok,XSS,yes,2.09
2026-04-23T06:50:26.547227,ok,XSS,yes,1.40
2026-04-23T06:50:27.682952,ok,XSS,yes,1.64
2026-04-23T06:50:28.792957,ok,Vulnerability_scanner,yes,0.63
2026-04-23T06:50:29.913860,ok,Vulnerability_scanner,yes,2.14
2026-04-23T06:50:31.045016,ok,XSS,yes,0.57
2026-04-23T06:50:32.165738,ok,XSS,yes,0.63
2026-04-23T06:50:33.297778,ok,XSS,yes,0.38
2026-04-23T06:50:34.420058,ok,XSS,yes,1.73
2026-04-23T06:50:35.547545,ok,XSS,yes,0.54
2026-04-23T06:50:36.663123,ok,XSS,yes,1.73
2026-04-23T06:50:37.770496,ok,XSS,yes,1.54
2026-04-23T06:50:39.020781,ok,XSS,yes,0.47
2026-04-23T06:50:40.129746,ok,XSS,yes,0.90
2026-04-23T06:50:41.235214,ok,XSS,yes,0.83
2026-04-23T06:50:42.345261,ok,XSS,yes,0.48
2026-04-23T06:50:43.470148,ok,Vulnerability_scanner,yes,0.38
2026-04-23T06:50:44.587014,ok,Vulnerability_scanner,yes,0.58
2026-04-23T06:50:45.697777,ok,XSS,yes,1.58
2026-04-23T06:50:46.814083,ok,XSS,yes,1.27
2026-04-23T06:50:47.940615,ok,XSS,yes,0.68
