timestamp,attack_type,stride_category,status,predicted_label,detected,latency_ms
2026-04-23T06:51:07.069495,Backdoor,Elevation of Privilege,ok,XSS,yes,3.46
2026-04-23T06:51:07.691334,DDoS_HTTP,Denial of Service,ok,XSS,yes,1.90
2026-04-23T06:51:08.314878,MITM,Tampering,ok,Vulnerability_scanner,yes,3.98
2026-04-23T06:51:08.929171,Port_Scanning,Information Disclosure,ok,Vulnerability_scanner,yes,1.11
2026-04-23T06:51:09.699674,SQL_injection,Tampering,ok,Vulnerability_scanner,yes,3.49
2026-04-23T06:51:10.326686,XSS,Tampering,ok,XSS,yes,1.63
2026-04-23T06:51:10.963704,Backdoor,Elevation of Privilege,ok,XSS,yes,1.42
2026-04-23T06:51:11.595775,DDoS_HTTP,Denial of Service,ok,XSS,yes,2.41
2026-04-23T06:51:12.235813,MITM,Tampering,ok,XSS,yes,2.65
2026-04-23T06:51:12.858255,Port_Scanning,Information Disclosure,ok,XSS,yes,1.80
2026-04-23T06:51:13.481849,SQL_injection,Tampering,ok,Vulnerability_scanner,yes,1.85
2026-04-23T06:51:14.115870,XSS,Tampering,ok,XSS,yes,2.65
2026-04-23T06:51:14.733456,Backdoor,Elevation of Privilege,ok,XSS,yes,1.19
2026-04-23T06:51:15.368055,DDoS_HTTP,Denial of Service,ok,XSS,yes,1.32
2026-04-23T06:51:15.997892,MITM,Tampering,ok,Vulnerability_scanner,yes,1.43
2026-04-23T06:51:16.618393,Port_Scanning,Information Disclosure,ok,Vulnerability_scanner,yes,2.75
2026-04-23T06:51:17.248046,SQL_injection,Tampering,ok,XSS,yes,3.54
2026-04-23T06:51:17.878784,XSS,Tampering,ok,XSS,yes,1.83
2026-04-23T06:51:18.494152,Backdoor,Elevation of Privilege,ok,XSS,yes,2.96
2026-04-23T06:51:19.119656,DDoS_HTTP,Denial of Service,ok,XSS,yes,1.62
2026-04-23T06:51:19.745944,MITM,Tampering,ok,Normal,no,4.93
2026-04-23T06:51:20.364255,Port_Scanning,Information Disclosure,ok,XSS,yes,1.36
2026-04-23T06:51:20.998414,SQL_injection,Tampering,ok,XSS,yes,4.58
2026-04-23T06:51:21.617283,XSS,Tampering,ok,XSS,yes,3.07
2026-04-23T06:51:22.226163,Backdoor,Elevation of Privilege,ok,XSS,yes,1.46
2026-04-23T06:51:22.860074,DDoS_HTTP,Denial of Service,ok,XSS,yes,1.04
2026-04-23T06:51:23.490194,MITM,Tampering,ok,XSS,yes,2.38
2026-04-23T06:51:24.119023,Port_Scanning,Information Disclosure,ok,Vulnerability_scanner,yes,5.34
2026-04-23T06:51:24.754806,SQL_injection,Tampering,ok,XSS,yes,5.55
2026-04-23T06:51:25.368898,XSS,Tampering,ok,XSS,yes,1.79
2026-04-23T06:51:25.976711,Backdoor,Elevation of Privilege,ok,XSS,yes,2.34
2026-04-23T06:51:26.606871,DDoS_HTTP,Denial of Service,ok,XSS,yes,4.09
2026-04-23T06:51:27.229784,MITM,Tampering,ok,Normal,no,4.72
2026-04-23T06:51:27.845729,Port_Scanning,Information Disclosure,ok,XSS,yes,2.05
2026-04-23T06:51:28.451068,SQL_injection,Tampering,ok,XSS,yes,1.19
2026-04-23T06:51:29.067911,XSS,Tampering,ok,XSS,yes,3.89
2026-04-23T06:51:29.687820,Backdoor,Elevation of Privilege,ok,XSS,yes,2.94
2026-04-23T06:51:30.314981,DDoS_HTTP,Denial of Service,ok,XSS,yes,3.81
2026-04-23T06:51:30.925386,MITM,Tampering,ok,Normal,no,1.53
2026-04-23T06:51:31.562741,Port_Scanning,Information Disclosure,ok,Normal,no,3.69
2026-04-23T06:51:32.202161,SQL_injection,Tampering,ok,XSS,yes,2.11
2026-04-23T06:51:32.826103,XSS,Tampering,ok,XSS,yes,3.08
2026-04-23T06:51:33.434070,Backdoor,Elevation of Privilege,ok,XSS,yes,1.08
