timestamp,attack_type,stride_category,status,predicted_label,detected,latency_ms
2026-04-23T06:44:30.811531,Backdoor,Elevation of Privilege,ok,Normal,no,9.78
2026-04-23T06:44:31.449676,DDoS_HTTP,Denial of Service,ok,Normal,no,24.23
2026-04-23T06:44:32.091742,MITM,Tampering,ok,Normal,no,30.80
2026-04-23T06:44:32.718672,Port_Scanning,Information Disclosure,ok,Normal,no,11.15
2026-04-23T06:44:33.359917,SQL_injection,Tampering,ok,Normal,no,10.43
2026-04-23T06:44:33.996557,XSS,Tampering,ok,Normal,no,10.53
2026-04-23T06:44:34.648438,Backdoor,Elevation of Privilege,ok,Normal,no,27.26
2026-04-23T06:44:35.290686,DDoS_HTTP,Denial of Service,ok,Normal,no,21.59
2026-04-23T06:44:35.949741,MITM,Tampering,ok,Normal,no,50.19
2026-04-23T06:44:36.603120,Port_Scanning,Information Disclosure,ok,Normal,no,31.20
2026-04-23T06:44:37.229975,SQL_injection,Tampering,ok,Normal,no,9.74
2026-04-23T06:44:38.004283,XSS,Tampering,ok,Normal,no,23.66
2026-04-23T06:44:38.641672,Backdoor,Elevation of Privilege,ok,Normal,no,14.05
2026-04-23T06:44:39.294038,DDoS_HTTP,Denial of Service,ok,Normal,no,14.21
2026-04-23T06:44:39.951440,MITM,Tampering,ok,Normal,no,29.43
2026-04-23T06:44:40.596545,Port_Scanning,Information Disclosure,ok,Normal,no,13.06
2026-04-23T06:44:41.249117,SQL_injection,Tampering,ok,Normal,no,23.67
2026-04-23T06:44:41.910843,XSS,Tampering,ok,Normal,no,33.52
2026-04-23T06:44:42.543597,Backdoor,Elevation of Privilege,ok,Normal,no,13.68
2026-04-23T06:44:43.215730,DDoS_HTTP,Denial of Service,ok,Normal,no,29.84
2026-04-23T06:44:43.864432,MITM,Tampering,ok,Normal,no,13.82
2026-04-23T06:44:44.521587,Port_Scanning,Information Disclosure,ok,Normal,no,18.76
2026-04-23T06:44:45.161352,SQL_injection,Tampering,ok,Normal,no,13.31
2026-04-23T06:44:45.794448,XSS,Tampering,ok,Normal,no,20.08
2026-04-23T06:44:46.437814,Backdoor,Elevation of Privilege,ok,Normal,no,18.66
2026-04-23T06:44:47.084414,DDoS_HTTP,Denial of Service,ok,Normal,no,13.98
2026-04-23T06:44:47.706729,MITM,Tampering,ok,Normal,no,9.98
2026-04-23T06:44:48.340341,Port_Scanning,Information Disclosure,ok,Normal,no,12.42
2026-04-23T06:44:48.974575,SQL_injection,Tampering,ok,Normal,no,15.61
2026-04-23T06:44:49.613821,XSS,Tampering,ok,Normal,no,13.13
2026-04-23T06:44:50.244984,Backdoor,Elevation of Privilege,ok,Normal,no,25.33
2026-04-23T06:44:50.882511,DDoS_HTTP,Denial of Service,ok,Normal,no,12.68
2026-04-23T06:44:51.534407,MITM,Tampering,ok,Normal,no,27.45
2026-04-23T06:44:52.160723,Port_Scanning,Information Disclosure,ok,Normal,no,12.21
2026-04-23T06:44:52.807808,SQL_injection,Tampering,ok,Normal,no,12.58
2026-04-23T06:44:53.420822,XSS,Tampering,ok,Normal,no,9.77
2026-04-23T06:44:54.058004,Backdoor,Elevation of Privilege,ok,Normal,no,12.28
2026-04-23T06:44:54.688533,DDoS_HTTP,Denial of Service,ok,Normal,no,10.77
2026-04-23T06:44:55.337868,MITM,Tampering,ok,Normal,no,15.94
2026-04-23T06:44:56.018230,Port_Scanning,Information Disclosure,ok,Normal,no,44.13
2026-04-23T06:44:56.668860,SQL_injection,Tampering,ok,Normal,no,13.47
2026-04-23T06:44:57.309564,XSS,Tampering,ok,Normal,no,13.84
2026-04-23T06:44:57.946954,Backdoor,Elevation of Privilege,ok,Normal,no,9.96
2026-04-23T06:44:58.564865,DDoS_HTTP,Denial of Service,ok,Normal,no,9.85
2026-04-23T06:44:59.208488,MITM,Tampering,ok,MITM,yes,11.63
2026-04-23T06:44:59.874255,Port_Scanning,Information Disclosure,ok,Normal,no,29.91
2026-04-23T06:45:00.512111,SQL_injection,Tampering,ok,Normal,no,12.67
2026-04-23T06:45:01.160990,XSS,Tampering,ok,Normal,no,15.18
2026-04-23T06:45:01.795572,Backdoor,Elevation of Privilege,ok,Normal,no,12.77
2026-04-23T06:45:02.422306,DDoS_HTTP,Denial of Service,ok,Normal,no,9.90
2026-04-23T06:45:03.061880,MITM,Tampering,ok,Normal,no,12.53
2026-04-23T06:45:03.678915,Port_Scanning,Information Disclosure,ok,Normal,no,12.25
2026-04-23T06:45:04.314370,SQL_injection,Tampering,ok,Normal,no,12.83
2026-04-23T06:45:04.949507,XSS,Tampering,ok,Normal,no,15.26
2026-04-23T06:45:05.579458,Backdoor,Elevation of Privilege,ok,Normal,no,23.31
2026-04-23T06:45:06.254574,DDoS_HTTP,Denial of Service,ok,Normal,no,22.05
2026-04-23T06:45:06.877403,MITM,Tampering,ok,MITM,yes,11.95
2026-04-23T06:45:07.697115,Port_Scanning,Information Disclosure,ok,Normal,no,19.57
2026-04-23T06:45:08.340117,SQL_injection,Tampering,ok,Normal,no,14.53
2026-04-23T06:45:09.000155,XSS,Tampering,ok,Normal,no,31.94
2026-04-23T06:45:09.626755,Backdoor,Elevation of Privilege,ok,Normal,no,12.96
2026-04-23T06:45:10.253395,DDoS_HTTP,Denial of Service,ok,Normal,no,12.91
2026-04-23T06:45:10.894802,MITM,Tampering,ok,Normal,no,13.89
2026-04-23T06:45:11.527865,Port_Scanning,Information Disclosure,ok,Normal,no,12.99
2026-04-23T06:45:12.165185,SQL_injection,Tampering,ok,Normal,no,12.82
2026-04-23T06:45:12.814078,XSS,Tampering,ok,Normal,no,26.39
2026-04-23T06:45:13.456035,Backdoor,Elevation of Privilege,ok,Normal,no,14.08
2026-04-23T06:45:14.088424,DDoS_HTTP,Denial of Service,ok,Normal,no,14.39
2026-04-23T06:45:14.722708,MITM,Tampering,ok,Normal,no,12.29
2026-04-23T06:45:15.348277,Port_Scanning,Information Disclosure,ok,Normal,no,13.47
2026-04-23T06:45:16.013494,SQL_injection,Tampering,ok,Normal,no,48.28
2026-04-23T06:45:16.642899,XSS,Tampering,ok,Normal,no,12.71
2026-04-23T06:45:17.290877,Backdoor,Elevation of Privilege,ok,Normal,no,13.24
2026-04-23T06:45:17.960023,DDoS_HTTP,Denial of Service,ok,Normal,no,38.49
2026-04-23T06:45:18.594712,MITM,Tampering,ok,MITM,yes,13.34
2026-04-23T06:45:19.243578,Port_Scanning,Information Disclosure,ok,Normal,no,11.62
2026-04-23T06:45:19.891437,SQL_injection,Tampering,ok,Normal,no,31.46
2026-04-23T06:45:20.539611,XSS,Tampering,ok,Normal,no,25.41
2026-04-23T06:45:21.165895,Backdoor,Elevation of Privilege,ok,Normal,no,12.20
2026-04-23T06:45:21.808811,DDoS_HTTP,Denial of Service,ok,Normal,no,18.62
