timestamp,attack_type,stride_category,status,predicted_label,detected,latency_ms
2026-04-22T18:47:17.699689,Backdoor,Elevation of Privilege,ok,DDoS_TCP,yes,1.51
2026-04-22T18:47:18.218415,DDoS_HTTP,Denial of Service,ok,MITM,yes,0.48
2026-04-22T18:47:18.741319,MITM,Tampering,ok,DDoS_ICMP,yes,0.91
2026-04-22T18:47:19.262611,Port_Scanning,Information Disclosure,ok,Backdoor,yes,0.45
2026-04-22T18:47:19.782368,SQL_injection,Tampering,ok,Vulnerability_scanner,yes,0.45
2026-04-22T18:47:20.320836,XSS,Tampering,ok,Backdoor,yes,0.53
2026-04-22T18:47:20.846742,Backdoor,Elevation of Privilege,ok,Port_Scanning,yes,0.37
2026-04-22T18:47:21.374228,DDoS_HTTP,Denial of Service,ok,Fingerprinting,yes,0.55
2026-04-22T18:47:21.902909,MITM,Tampering,ok,SQL_injection,yes,0.65
2026-04-22T18:47:22.422732,Port_Scanning,Information Disclosure,ok,DDoS_UDP,yes,0.47
2026-04-22T18:47:22.932880,SQL_injection,Tampering,ok,Fingerprinting,yes,0.23
2026-04-22T18:47:23.457187,XSS,Tampering,ok,SQL_injection,yes,0.44
2026-04-22T18:47:23.976881,Backdoor,Elevation of Privilege,ok,Fingerprinting,yes,0.43
2026-04-22T18:47:24.504325,DDoS_HTTP,Denial of Service,ok,Normal,no,0.61
2026-04-22T18:47:25.025721,MITM,Tampering,ok,SQL_injection,yes,0.26
2026-04-22T18:47:25.534482,Port_Scanning,Information Disclosure,ok,Fingerprinting,yes,0.22
2026-04-22T18:47:26.066835,SQL_injection,Tampering,ok,SQL_injection,yes,0.61
2026-04-22T18:47:26.585311,XSS,Tampering,ok,Ransomware,yes,0.39
2026-04-22T18:47:27.106746,Backdoor,Elevation of Privilege,ok,DDoS_ICMP,yes,0.45
2026-04-22T18:47:27.631419,DDoS_HTTP,Denial of Service,ok,Password,yes,0.58
2026-04-22T18:47:28.153161,MITM,Tampering,ok,Vulnerability_scanner,yes,0.41
2026-04-22T18:47:28.789826,Port_Scanning,Information Disclosure,ok,Normal,no,0.34
2026-04-22T18:47:29.308805,SQL_injection,Tampering,ok,DDoS_TCP,yes,0.42
2026-04-22T18:47:29.831179,XSS,Tampering,ok,MITM,yes,0.38
2026-04-22T18:47:30.340872,Backdoor,Elevation of Privilege,ok,DDoS_ICMP,yes,0.15
2026-04-22T18:47:30.866417,DDoS_HTTP,Denial of Service,ok,Ransomware,yes,0.53
2026-04-22T18:47:31.390124,MITM,Tampering,ok,MITM,yes,0.52
2026-04-22T18:47:31.913727,Port_Scanning,Information Disclosure,ok,Fingerprinting,yes,0.24
2026-04-22T18:47:32.435568,SQL_injection,Tampering,ok,DDoS_UDP,yes,0.46
2026-04-22T18:47:32.956786,XSS,Tampering,ok,Fingerprinting,yes,0.39
2026-04-22T18:47:33.471119,Backdoor,Elevation of Privilege,ok,Uploading,yes,0.33
2026-04-22T18:47:33.994363,DDoS_HTTP,Denial of Service,ok,Uploading,yes,0.47
2026-04-22T18:47:34.517175,MITM,Tampering,ok,Password,yes,0.25
2026-04-22T18:47:35.051169,Port_Scanning,Information Disclosure,ok,Vulnerability_scanner,yes,0.57
2026-04-22T18:47:35.582186,SQL_injection,Tampering,ok,Uploading,yes,0.52
2026-04-22T18:47:36.108026,XSS,Tampering,ok,Password,yes,0.54
2026-04-22T18:47:36.622746,Backdoor,Elevation of Privilege,ok,SQL_injection,yes,0.22
2026-04-22T18:47:37.142983,DDoS_HTTP,Denial of Service,ok,DDoS_ICMP,yes,0.38
2026-04-22T18:47:37.670734,MITM,Tampering,ok,DDoS_HTTP,yes,0.38
2026-04-22T18:47:38.193951,Port_Scanning,Information Disclosure,ok,Normal,no,0.48
2026-04-22T18:47:38.724253,SQL_injection,Tampering,ok,Password,yes,0.41
2026-04-22T18:47:39.247095,XSS,Tampering,ok,SQL_injection,yes,0.34
2026-04-22T18:47:39.758761,Backdoor,Elevation of Privilege,ok,DDoS_TCP,yes,0.20
2026-04-22T18:47:40.281603,DDoS_HTTP,Denial of Service,ok,Port_Scanning,yes,0.68
2026-04-22T18:47:40.807475,MITM,Tampering,ok,MITM,yes,0.23
2026-04-22T18:47:41.326118,Port_Scanning,Information Disclosure,ok,Port_Scanning,yes,0.38
2026-04-22T18:47:41.845489,SQL_injection,Tampering,ok,Backdoor,yes,0.23
2026-04-22T18:47:42.371215,XSS,Tampering,ok,Fingerprinting,yes,0.48
2026-04-22T18:47:42.893095,Backdoor,Elevation of Privilege,ok,Vulnerability_scanner,yes,0.58
2026-04-22T18:47:43.412756,DDoS_HTTP,Denial of Service,ok,Backdoor,yes,0.44
2026-04-22T18:47:43.930176,MITM,Tampering,ok,Ransomware,yes,0.21
2026-04-22T18:47:44.447457,Port_Scanning,Information Disclosure,ok,DDoS_TCP,yes,0.33
2026-04-22T18:47:44.964781,SQL_injection,Tampering,ok,SQL_injection,yes,0.42
2026-04-22T18:47:45.492840,XSS,Tampering,ok,Port_Scanning,yes,0.41
2026-04-22T18:47:46.013765,Backdoor,Elevation of Privilege,ok,MITM,yes,0.37
2026-04-22T18:47:46.534459,DDoS_HTTP,Denial of Service,ok,Fingerprinting,yes,0.15
2026-04-22T18:47:47.057384,MITM,Tampering,ok,Fingerprinting,yes,0.37
2026-04-22T18:47:47.589966,Port_Scanning,Information Disclosure,ok,Ransomware,yes,0.43
2026-04-22T18:47:48.111395,SQL_injection,Tampering,ok,DDoS_TCP,yes,0.49
2026-04-22T18:47:48.634547,XSS,Tampering,ok,DDoS_TCP,yes,0.35
2026-04-22T18:47:49.168016,Backdoor,Elevation of Privilege,ok,Ransomware,yes,0.61
2026-04-22T18:47:49.694673,DDoS_HTTP,Denial of Service,ok,Normal,no,0.55
2026-04-22T18:47:50.216771,MITM,Tampering,ok,Password,yes,0.45
2026-04-22T18:47:50.726220,Port_Scanning,Information Disclosure,ok,Uploading,yes,0.19
2026-04-22T18:47:51.246074,SQL_injection,Tampering,ok,DDoS_HTTP,yes,0.22
2026-04-22T18:47:51.765385,XSS,Tampering,ok,Uploading,yes,0.23
2026-04-22T18:47:52.283597,Backdoor,Elevation of Privilege,ok,Port_Scanning,yes,0.23
2026-04-22T18:47:52.799629,DDoS_HTTP,Denial of Service,ok,XSS,yes,0.33
2026-04-22T18:47:53.322398,MITM,Tampering,ok,Port_Scanning,yes,0.21
2026-04-22T18:47:53.841562,Port_Scanning,Information Disclosure,ok,DDoS_ICMP,yes,0.37
2026-04-22T18:47:54.361596,SQL_injection,Tampering,ok,DDoS_UDP,yes,0.36
2026-04-22T18:47:54.884160,XSS,Tampering,ok,Normal,no,0.33
2026-04-22T18:47:55.405868,Backdoor,Elevation of Privilege,ok,Uploading,yes,0.24
2026-04-22T18:47:55.928904,DDoS_HTTP,Denial of Service,ok,Fingerprinting,yes,0.72
2026-04-22T18:47:56.447217,MITM,Tampering,ok,DDoS_UDP,yes,0.64
2026-04-22T18:47:56.971567,Port_Scanning,Information Disclosure,ok,DDoS_TCP,yes,0.48
