timestamp,attack_type,stride_category,status,predicted_label,detected,latency_ms
2026-04-22T18:49:45.436385,Backdoor,Elevation of Privilege,ok,Uploading,yes,0.50
2026-04-22T18:49:45.948287,DDoS_HTTP,Denial of Service,ok,DDoS_HTTP,yes,0.22
2026-04-22T18:49:46.470098,MITM,Tampering,ok,DDoS_HTTP,yes,0.40
2026-04-22T18:49:47.001282,Port_Scanning,Information Disclosure,ok,Ransomware,yes,0.27
2026-04-22T18:49:47.522162,SQL_injection,Tampering,ok,Port_Scanning,yes,0.21
2026-04-22T18:49:48.065196,XSS,Tampering,ok,Uploading,yes,0.57
2026-04-22T18:49:48.586845,Backdoor,Elevation of Privilege,ok,DDoS_HTTP,yes,0.38
2026-04-22T18:49:49.108974,DDoS_HTTP,Denial of Service,ok,Password,yes,0.75
2026-04-22T18:49:49.632546,MITM,Tampering,ok,Ransomware,yes,0.38
2026-04-22T18:49:50.153260,Port_Scanning,Information Disclosure,ok,MITM,yes,0.23
2026-04-22T18:49:50.680129,SQL_injection,Tampering,ok,DDoS_TCP,yes,0.45
2026-04-22T18:49:51.192789,XSS,Tampering,ok,DDoS_UDP,yes,0.24
2026-04-22T18:49:51.714075,Backdoor,Elevation of Privilege,ok,DDoS_UDP,yes,0.48
2026-04-22T18:49:52.234597,DDoS_HTTP,Denial of Service,ok,DDoS_HTTP,yes,0.49
2026-04-22T18:49:52.753296,MITM,Tampering,ok,Normal,no,0.33
2026-04-22T18:49:53.289198,Port_Scanning,Information Disclosure,ok,SQL_injection,yes,0.35
2026-04-22T18:49:53.809877,SQL_injection,Tampering,ok,MITM,yes,0.37
2026-04-22T18:49:54.327458,XSS,Tampering,ok,SQL_injection,yes,0.36
2026-04-22T18:49:54.849729,Backdoor,Elevation of Privilege,ok,Backdoor,yes,0.22
2026-04-22T18:49:55.386087,DDoS_HTTP,Denial of Service,ok,DDoS_TCP,yes,0.62
2026-04-22T18:49:55.906528,MITM,Tampering,ok,Vulnerability_scanner,yes,0.38
2026-04-22T18:49:56.430283,Port_Scanning,Information Disclosure,ok,Ransomware,yes,0.23
