timestamp,attack_type,stride_category,status,predicted_label,detected,latency_ms
2026-04-22T18:39:34.750988,Backdoor,Elevation of Privilege,ok,Normal,no,2.25
2026-04-22T18:39:35.276697,DDoS_HTTP,Denial of Service,ok,Normal,no,2.85
2026-04-22T18:39:35.788414,MITM,Tampering,ok,Normal,no,0.88
2026-04-22T18:39:36.298864,Port_Scanning,Information Disclosure,ok,Normal,no,1.35
2026-04-22T18:39:36.815593,SQL_injection,Tampering,ok,Normal,no,1.05
2026-04-22T18:39:37.326834,XSS,Tampering,ok,Normal,no,1.22
2026-04-22T18:39:37.840727,Backdoor,Elevation of Privilege,ok,Normal,no,1.45
2026-04-22T18:39:38.358540,DDoS_HTTP,Denial of Service,ok,Normal,no,1.39
2026-04-22T18:39:38.877327,MITM,Tampering,ok,Normal,no,2.11
2026-04-22T18:39:39.395160,Port_Scanning,Information Disclosure,ok,Normal,no,1.35
2026-04-22T18:39:39.913852,SQL_injection,Tampering,ok,Normal,no,2.14
2026-04-22T18:39:40.434217,XSS,Tampering,ok,Normal,no,2.26
2026-04-22T18:39:40.954538,Backdoor,Elevation of Privilege,ok,Normal,no,2.33
2026-04-22T18:39:41.489499,DDoS_HTTP,Denial of Service,ok,Normal,no,4.02
2026-04-22T18:39:42.012256,MITM,Tampering,ok,Normal,no,2.29
2026-04-22T18:39:42.543915,Port_Scanning,Information Disclosure,ok,Normal,no,2.30
2026-04-22T18:39:43.063655,SQL_injection,Tampering,ok,Normal,no,1.84
2026-04-22T18:39:43.595180,XSS,Tampering,ok,Normal,no,5.44
2026-04-22T18:39:44.113630,Backdoor,Elevation of Privilege,ok,Normal,no,1.68
2026-04-22T18:39:44.625983,DDoS_HTTP,Denial of Service,ok,Normal,no,1.42
2026-04-22T18:39:45.142763,MITM,Tampering,ok,Normal,no,1.43
2026-04-22T18:39:45.669940,Port_Scanning,Information Disclosure,ok,Normal,no,2.99
2026-04-22T18:39:46.188663,SQL_injection,Tampering,ok,Normal,no,1.72
2026-04-22T18:39:46.708540,XSS,Tampering,ok,Normal,no,1.56
2026-04-22T18:39:47.225252,Backdoor,Elevation of Privilege,ok,Normal,no,1.67
2026-04-22T18:39:47.751520,DDoS_HTTP,Denial of Service,ok,Normal,no,3.17
2026-04-22T18:39:48.269044,MITM,Tampering,ok,Normal,no,1.72
2026-04-22T18:39:48.787283,Port_Scanning,Information Disclosure,ok,Normal,no,1.65
2026-04-22T18:39:49.305495,SQL_injection,Tampering,ok,Normal,no,1.69
2026-04-22T18:39:49.828921,XSS,Tampering,ok,Normal,no,3.05
2026-04-22T18:39:50.348709,Backdoor,Elevation of Privilege,ok,Normal,no,1.60
2026-04-22T18:39:50.873523,DDoS_HTTP,Denial of Service,ok,Normal,no,2.32
2026-04-22T18:39:51.403849,MITM,Tampering,ok,Normal,no,3.33
2026-04-22T18:39:51.921748,Port_Scanning,Information Disclosure,ok,Normal,no,1.92
2026-04-22T18:39:52.443392,SQL_injection,Tampering,ok,Normal,no,2.24
2026-04-22T18:39:52.965793,XSS,Tampering,ok,Normal,no,1.77
2026-04-22T18:39:53.486025,Backdoor,Elevation of Privilege,ok,Normal,no,2.04
2026-04-22T18:39:54.011145,DDoS_HTTP,Denial of Service,ok,Normal,no,3.39
2026-04-22T18:39:54.531173,MITM,Tampering,ok,Normal,no,1.60
