timestamp,attack_type,stride_category,status,predicted_label,detected,latency_ms
2026-04-22T18:42:06.373386,Backdoor,Elevation of Privilege,ok,Vulnerability_scanner,yes,3.10
2026-04-22T18:42:06.896488,DDoS_HTTP,Denial of Service,ok,XSS,yes,1.86
2026-04-22T18:42:07.421896,MITM,Tampering,ok,MITM,yes,2.07
2026-04-22T18:42:07.930180,Port_Scanning,Information Disclosure,ok,DDoS_TCP,yes,0.73
2026-04-22T18:42:08.440812,SQL_injection,Tampering,ok,Vulnerability_scanner,yes,0.85
2026-04-22T18:42:08.950604,XSS,Tampering,ok,XSS,yes,0.81
2026-04-22T18:42:09.471189,Backdoor,Elevation of Privilege,ok,Vulnerability_scanner,yes,1.55
2026-04-22T18:42:10.002948,DDoS_HTTP,Denial of Service,ok,XSS,yes,3.65
2026-04-22T18:42:10.525177,MITM,Tampering,ok,XSS,yes,2.53
2026-04-22T18:42:11.046637,Port_Scanning,Information Disclosure,ok,Vulnerability_scanner,yes,2.26
2026-04-22T18:42:11.568736,SQL_injection,Tampering,ok,XSS,yes,2.15
2026-04-22T18:42:12.090921,XSS,Tampering,ok,XSS,yes,1.91
2026-04-22T18:42:12.615386,Backdoor,Elevation of Privilege,ok,XSS,yes,2.33
2026-04-22T18:42:13.157817,DDoS_HTTP,Denial of Service,ok,XSS,yes,4.04
2026-04-22T18:42:13.680603,MITM,Tampering,ok,MITM,yes,1.87
2026-04-22T18:42:14.213739,Port_Scanning,Information Disclosure,ok,XSS,yes,2.66
2026-04-22T18:42:14.742121,SQL_injection,Tampering,ok,Vulnerability_scanner,yes,3.06
2026-04-22T18:42:15.267959,XSS,Tampering,ok,Vulnerability_scanner,yes,3.11
2026-04-22T18:42:15.788972,Backdoor,Elevation of Privilege,ok,XSS,yes,1.94
2026-04-22T18:42:16.300635,DDoS_HTTP,Denial of Service,ok,XSS,yes,1.87
2026-04-22T18:42:16.820494,MITM,Tampering,ok,Fingerprinting,yes,1.77
2026-04-22T18:42:17.340225,Port_Scanning,Information Disclosure,ok,Vulnerability_scanner,yes,1.52
2026-04-22T18:42:17.861863,SQL_injection,Tampering,ok,XSS,yes,3.01
2026-04-22T18:42:18.382182,XSS,Tampering,ok,XSS,yes,2.30
2026-04-22T18:42:18.904400,Backdoor,Elevation of Privilege,ok,Vulnerability_scanner,yes,1.96
2026-04-22T18:42:19.426608,DDoS_HTTP,Denial of Service,ok,XSS,yes,2.23
2026-04-22T18:42:19.945077,MITM,Tampering,ok,XSS,yes,1.68
2026-04-22T18:42:20.465435,Port_Scanning,Information Disclosure,ok,DDoS_TCP,yes,2.10
2026-04-22T18:42:20.983822,SQL_injection,Tampering,ok,XSS,yes,1.66
2026-04-22T18:42:21.504112,XSS,Tampering,ok,XSS,yes,1.53
2026-04-22T18:42:22.028216,Backdoor,Elevation of Privilege,ok,XSS,yes,3.24
2026-04-22T18:42:22.548634,DDoS_HTTP,Denial of Service,ok,XSS,yes,1.64
2026-04-22T18:42:23.075449,MITM,Tampering,ok,MITM,yes,4.13
2026-04-22T18:42:23.594706,Port_Scanning,Information Disclosure,ok,Vulnerability_scanner,yes,1.55
2026-04-22T18:42:24.115018,SQL_injection,Tampering,ok,XSS,yes,1.84
2026-04-22T18:42:24.642779,XSS,Tampering,ok,XSS,yes,2.81
2026-04-22T18:42:25.168778,Backdoor,Elevation of Privilege,ok,Vulnerability_scanner,yes,2.62
2026-04-22T18:42:25.690363,DDoS_HTTP,Denial of Service,ok,XSS,yes,2.12
2026-04-22T18:42:26.201413,MITM,Tampering,ok,MITM,yes,1.04
2026-04-22T18:42:26.851607,Port_Scanning,Information Disclosure,ok,DDoS_TCP,yes,2.66
2026-04-22T18:42:27.380891,SQL_injection,Tampering,ok,XSS,yes,2.63
2026-04-22T18:42:27.904979,XSS,Tampering,ok,XSS,yes,1.82
2026-04-22T18:42:28.428565,Backdoor,Elevation of Privilege,ok,XSS,yes,2.06
2026-04-22T18:42:28.950268,DDoS_HTTP,Denial of Service,ok,XSS,yes,2.67
2026-04-22T18:42:29.480911,MITM,Tampering,ok,MITM,yes,3.62
2026-04-22T18:42:30.017063,Port_Scanning,Information Disclosure,ok,Vulnerability_scanner,yes,4.07
2026-04-22T18:42:30.546467,SQL_injection,Tampering,ok,XSS,yes,3.18
2026-04-22T18:42:31.079133,XSS,Tampering,ok,XSS,yes,4.99
2026-04-22T18:42:31.612671,Backdoor,Elevation of Privilege,ok,Vulnerability_scanner,yes,2.42
2026-04-22T18:42:32.137761,DDoS_HTTP,Denial of Service,ok,XSS,yes,2.09
2026-04-22T18:42:32.660762,MITM,Tampering,ok,MITM,yes,2.19
2026-04-22T18:42:33.190367,Port_Scanning,Information Disclosure,ok,XSS,yes,5.58
2026-04-22T18:42:33.709667,SQL_injection,Tampering,ok,XSS,yes,1.94
2026-04-22T18:42:34.229994,XSS,Tampering,ok,Vulnerability_scanner,yes,1.90
2026-04-22T18:42:34.754810,Backdoor,Elevation of Privilege,ok,XSS,yes,1.58
2026-04-22T18:42:35.278078,DDoS_HTTP,Denial of Service,ok,XSS,yes,1.83
2026-04-22T18:42:35.816456,MITM,Tampering,ok,MITM,yes,2.21
2026-04-22T18:42:36.350259,Port_Scanning,Information Disclosure,ok,Vulnerability_scanner,yes,6.53
2026-04-22T18:42:36.879930,SQL_injection,Tampering,ok,XSS,yes,2.55
2026-04-22T18:42:37.399655,XSS,Tampering,ok,XSS,yes,2.65
2026-04-22T18:42:37.919966,Backdoor,Elevation of Privilege,ok,Vulnerability_scanner,yes,1.44
2026-04-22T18:42:38.443515,DDoS_HTTP,Denial of Service,ok,XSS,yes,1.88
