timestamp,source,prediction,label,confidence,latency_ms,cpu_percent,memory_mb,total_requests
2026-04-22T18:42:06.369263,attacker,13,Vulnerability_scanner,1.0000,3.10,0.0,108.82,1
2026-04-22T18:42:06.888266,attacker,14,XSS,0.9899,1.86,9.2,108.82,2
2026-04-22T18:42:06.998378,water-sensor,14,XSS,0.9895,1.53,10.7,108.82,3
2026-04-22T18:42:07.411712,attacker,6,MITM,1.0000,2.07,8.0,108.82,4
2026-04-22T18:42:07.927925,attacker,3,DDoS_TCP,0.6173,0.73,4.6,108.82,5
2026-04-22T18:42:08.012846,water-sensor,14,XSS,0.5299,1.04,2.9,108.82,6
2026-04-22T18:42:08.437985,attacker,13,Vulnerability_scanner,0.9606,0.85,5.5,108.82,7
2026-04-22T18:42:08.947423,attacker,14,XSS,0.9963,0.81,4.0,108.82,8
2026-04-22T18:42:09.023658,water-sensor,13,Vulnerability_scanner,0.7880,0.59,3.3,108.82,9
2026-04-22T18:42:09.465165,attacker,13,Vulnerability_scanner,0.9975,1.55,6.8,108.82,10
2026-04-22T18:42:09.993178,attacker,14,XSS,0.9899,3.65,15.1,108.82,11
2026-04-22T18:42:10.050104,water-sensor,13,Vulnerability_scanner,0.5179,3.25,35.6,108.82,12
2026-04-22T18:42:10.518840,attacker,14,XSS,0.9963,2.53,15.0,108.82,13
2026-04-22T18:42:11.039963,attacker,13,Vulnerability_scanner,0.8907,2.26,2.7,108.82,14
2026-04-22T18:42:11.072883,water-sensor,14,XSS,0.5299,2.53,28.0,108.82,15
2026-04-22T18:42:11.561369,attacker,14,XSS,0.9422,2.15,8.8,108.82,16
2026-04-22T18:42:12.083534,attacker,14,XSS,0.6385,1.91,12.5,108.82,17
2026-04-22T18:42:12.099480,water-sensor,14,XSS,0.9725,2.36,42.9,108.82,18
2026-04-22T18:42:12.607783,attacker,14,XSS,0.5288,2.33,10.2,108.82,19
2026-04-22T18:42:13.140551,attacker,14,XSS,0.9899,4.04,0.0,108.95,21
2026-04-22T18:42:13.144180,water-sensor,14,XSS,0.6423,3.01,8.6,108.95,21
2026-04-22T18:42:13.673832,attacker,6,MITM,1.0000,1.87,34.2,108.95,22
2026-04-22T18:42:14.180930,water-sensor,14,XSS,0.9899,2.27,10.6,108.95,23
2026-04-22T18:42:14.202626,attacker,14,XSS,0.9883,2.66,58.8,108.95,24
2026-04-22T18:42:14.731021,attacker,13,Vulnerability_scanner,1.0000,3.06,11.8,108.95,25
2026-04-22T18:42:15.206226,water-sensor,14,XSS,0.6779,2.08,15.0,108.95,26
2026-04-22T18:42:15.259185,attacker,13,Vulnerability_scanner,0.8954,3.11,27.9,108.95,27
2026-04-22T18:42:15.783297,attacker,14,XSS,0.9963,1.94,13.8,108.95,28
2026-04-22T18:42:16.236604,water-sensor,14,XSS,0.5368,3.31,9.8,108.95,29
2026-04-22T18:42:16.297354,attacker,14,XSS,0.9902,1.87,24.5,108.95,30
2026-04-22T18:42:16.815154,attacker,5,Fingerprinting,1.0000,1.77,7.5,108.95,31
2026-04-22T18:42:17.265107,water-sensor,14,XSS,0.9879,2.39,8.7,108.95,32
2026-04-22T18:42:17.334222,attacker,13,Vulnerability_scanner,0.8897,1.52,14.3,108.95,33
2026-04-22T18:42:17.856395,attacker,14,XSS,0.5338,3.01,8.2,108.95,34
2026-04-22T18:42:18.288113,water-sensor,14,XSS,0.5312,2.12,11.2,108.95,35
2026-04-22T18:42:18.376558,attacker,14,XSS,0.5256,2.30,5.7,108.95,36
2026-04-22T18:42:18.895604,attacker,13,Vulnerability_scanner,0.9999,1.96,9.0,108.95,37
2026-04-22T18:42:19.309856,water-sensor,14,XSS,0.5336,1.57,11.9,108.95,38
2026-04-22T18:42:19.420211,attacker,14,XSS,0.9900,2.23,10.1,108.95,39
2026-04-22T18:42:19.940068,attacker,14,XSS,0.9404,1.68,9.7,108.95,40
2026-04-22T18:42:20.331690,water-sensor,14,XSS,0.9896,1.81,7.1,108.95,41
2026-04-22T18:42:20.459531,attacker,3,DDoS_TCP,0.7589,2.10,5.0,108.95,42
2026-04-22T18:42:20.978639,attacker,14,XSS,0.9900,1.66,10.4,108.95,43
2026-04-22T18:42:21.352766,water-sensor,14,XSS,0.5367,1.53,7.1,108.95,44
