timestamp,attack_type,stride_category,status,predicted_label,detected,latency_ms
2026-04-22T18:29:14.584347,Backdoor,Elevation of Privilege,ok,Normal,no,79.27
2026-04-22T18:29:15.284048,DDoS_HTTP,Denial of Service,ok,Normal,no,68.80
2026-04-22T18:29:15.862562,MITM,Tampering,ok,Normal,no,59.74
2026-04-22T18:29:16.624915,Port_Scanning,Information Disclosure,ok,Normal,no,215.84
2026-04-22T18:29:17.218440,SQL_injection,Tampering,ok,Normal,no,72.73
2026-04-22T18:29:17.791495,XSS,Tampering,ok,Normal,no,51.85
2026-04-22T18:29:18.378003,Backdoor,Elevation of Privilege,ok,Normal,no,64.86
2026-04-22T18:29:18.964955,DDoS_HTTP,Denial of Service,ok,Normal,no,68.89
2026-04-22T18:29:19.500102,MITM,Tampering,ok,Normal,no,27.34
2026-04-22T18:29:20.078989,Port_Scanning,Information Disclosure,ok,Normal,no,58.08
2026-04-22T18:29:20.692913,SQL_injection,Tampering,ok,Normal,no,89.13
2026-04-22T18:29:21.276044,XSS,Tampering,ok,Normal,no,61.25
2026-04-22T18:29:21.852907,Backdoor,Elevation of Privilege,ok,Normal,no,57.30
2026-04-22T18:29:22.446599,DDoS_HTTP,Denial of Service,ok,Normal,no,69.41
2026-04-22T18:29:23.021509,MITM,Tampering,ok,Normal,no,55.54
2026-04-22T18:29:23.751577,Port_Scanning,Information Disclosure,ok,Normal,no,105.27
2026-04-22T18:29:24.530873,SQL_injection,Tampering,ok,Normal,no,250.73
2026-04-22T18:29:25.112889,XSS,Tampering,ok,Normal,no,60.03
2026-04-22T18:29:25.800437,Backdoor,Elevation of Privilege,ok,Normal,no,120.22
2026-04-22T18:29:26.409455,DDoS_HTTP,Denial of Service,ok,Normal,no,86.02
2026-04-22T18:29:26.991911,MITM,Tampering,ok,Normal,no,61.12
2026-04-22T18:29:27.600425,Port_Scanning,Information Disclosure,ok,Normal,no,87.22
2026-04-22T18:29:28.179685,SQL_injection,Tampering,ok,Normal,no,59.14
2026-04-22T18:29:28.808704,XSS,Tampering,ok,Normal,no,105.05
2026-04-22T18:29:29.371004,Backdoor,Elevation of Privilege,ok,Normal,no,52.33
2026-04-22T18:29:29.955305,DDoS_HTTP,Denial of Service,ok,Normal,no,63.81
2026-04-22T18:29:30.539515,MITM,Tampering,ok,Normal,no,62.58
2026-04-22T18:29:31.108860,Port_Scanning,Information Disclosure,ok,Normal,no,50.25
2026-04-22T18:29:31.736174,SQL_injection,Tampering,ok,Normal,no,101.41
2026-04-22T18:29:32.425585,XSS,Tampering,ok,Normal,no,111.98
2026-04-22T18:29:33.000880,Backdoor,Elevation of Privilege,ok,Normal,no,55.24
2026-04-22T18:29:33.622867,DDoS_HTTP,Denial of Service,ok,Normal,no,92.57
2026-04-22T18:29:34.205595,MITM,Tampering,ok,Normal,no,62.78
2026-04-22T18:29:34.834432,Port_Scanning,Information Disclosure,ok,Normal,no,107.63
2026-04-22T18:29:35.443972,SQL_injection,Tampering,ok,Normal,no,85.55
2026-04-22T18:29:36.039916,XSS,Tampering,ok,Normal,no,75.25
2026-04-22T18:29:36.633105,Backdoor,Elevation of Privilege,ok,Normal,no,72.29
2026-04-22T18:29:37.217411,DDoS_HTTP,Denial of Service,ok,Normal,no,59.67
2026-04-22T18:29:37.801259,MITM,Tampering,ok,Normal,no,63.48
2026-04-22T18:29:38.391220,Port_Scanning,Information Disclosure,ok,Normal,no,63.64
2026-04-22T18:29:39.193598,SQL_injection,Tampering,ok,Normal,no,242.63
2026-04-22T18:29:39.795617,XSS,Tampering,ok,Normal,no,82.30
2026-04-22T18:29:40.396767,Backdoor,Elevation of Privilege,ok,Normal,no,80.59
2026-04-22T18:29:40.975857,DDoS_HTTP,Denial of Service,ok,Normal,no,59.30
2026-04-22T18:29:41.555670,MITM,Tampering,ok,MITM,yes,58.33
2026-04-22T18:29:42.121348,Port_Scanning,Information Disclosure,ok,Normal,no,49.78
2026-04-22T18:29:42.677021,SQL_injection,Tampering,ok,Normal,no,41.82
2026-04-22T18:29:43.254794,XSS,Tampering,ok,Normal,no,58.90
2026-04-22T18:29:43.850395,Backdoor,Elevation of Privilege,ok,Normal,no,73.10
2026-04-22T18:29:44.444644,DDoS_HTTP,Denial of Service,ok,Normal,no,74.99
2026-04-22T18:29:45.022512,MITM,Tampering,ok,Normal,no,59.23
2026-04-22T18:29:45.794625,Port_Scanning,Information Disclosure,ok,Normal,no,95.43
2026-04-22T18:29:46.367354,SQL_injection,Tampering,ok,Normal,no,54.53
2026-04-22T18:29:46.962285,XSS,Tampering,ok,Normal,no,71.55
2026-04-22T18:29:47.543885,Backdoor,Elevation of Privilege,ok,Normal,no,59.04
2026-04-22T18:29:48.119723,DDoS_HTTP,Denial of Service,ok,Normal,no,57.53
2026-04-22T18:29:48.738427,MITM,Tampering,ok,MITM,yes,97.69
2026-04-22T18:29:49.317735,Port_Scanning,Information Disclosure,ok,Normal,no,59.59
2026-04-22T18:29:49.910266,SQL_injection,Tampering,ok,Normal,no,61.39
2026-04-22T18:29:50.506447,XSS,Tampering,ok,Normal,no,73.49
2026-04-22T18:29:51.084758,Backdoor,Elevation of Privilege,ok,Normal,no,58.15
2026-04-22T18:29:51.707228,DDoS_HTTP,Denial of Service,ok,Normal,no,77.97
2026-04-22T18:29:52.381531,MITM,Tampering,ok,Normal,no,98.99
2026-04-22T18:29:52.960760,Port_Scanning,Information Disclosure,ok,Normal,no,60.05
2026-04-22T18:29:53.847995,SQL_injection,Tampering,ok,Normal,no,250.81
2026-04-22T18:29:54.429150,XSS,Tampering,ok,Normal,no,59.18
2026-04-22T18:29:55.033720,Backdoor,Elevation of Privilege,ok,Normal,no,76.99
2026-04-22T18:29:55.642339,DDoS_HTTP,Denial of Service,ok,Normal,no,87.52
2026-04-22T18:29:56.222223,MITM,Tampering,ok,Normal,no,56.51
2026-04-22T18:29:56.840329,Port_Scanning,Information Disclosure,ok,Normal,no,92.51
2026-04-22T18:29:57.417658,SQL_injection,Tampering,ok,Normal,no,57.23
2026-04-22T18:29:58.001016,XSS,Tampering,ok,Normal,no,60.03
2026-04-22T18:29:58.581643,Backdoor,Elevation of Privilege,ok,Normal,no,62.59
2026-04-22T18:29:59.210676,DDoS_HTTP,Denial of Service,ok,Normal,no,73.14
2026-04-22T18:29:59.849051,MITM,Tampering,ok,MITM,yes,111.81
2026-04-22T18:30:00.411923,Port_Scanning,Information Disclosure,ok,Normal,no,49.97
2026-04-22T18:30:00.988432,SQL_injection,Tampering,ok,Normal,no,56.82
2026-04-22T18:30:01.581932,XSS,Tampering,ok,Normal,no,73.09
2026-04-22T18:30:02.152769,Backdoor,Elevation of Privilege,ok,Normal,no,48.44
2026-04-22T18:30:02.703364,DDoS_HTTP,Denial of Service,ok,Normal,no,36.44
2026-04-22T18:30:03.285905,MITM,Tampering,ok,MITM,yes,62.30
2026-04-22T18:30:03.902290,Port_Scanning,Information Disclosure,ok,Normal,no,91.25
2026-04-22T18:30:04.435536,SQL_injection,Tampering,ok,Normal,no,22.82
2026-04-22T18:30:05.033671,XSS,Tampering,ok,Normal,no,79.15
2026-04-22T18:30:05.617569,Backdoor,Elevation of Privilege,ok,Normal,no,62.07
2026-04-22T18:30:06.192587,DDoS_HTTP,Denial of Service,ok,Normal,no,56.05
2026-04-22T18:30:06.810743,MITM,Tampering,ok,MITM,yes,95.35
2026-04-22T18:30:07.386154,Port_Scanning,Information Disclosure,ok,Normal,no,54.96
2026-04-22T18:30:07.939490,SQL_injection,Tampering,ok,Normal,no,41.22
2026-04-22T18:30:08.476982,XSS,Tampering,ok,Normal,no,27.68
2026-04-22T18:30:09.139223,Backdoor,Elevation of Privilege,ok,Normal,no,138.98
2026-04-22T18:30:09.696612,DDoS_HTTP,Denial of Service,ok,Normal,no,42.87
2026-04-22T18:30:10.291131,MITM,Tampering,ok,MITM,yes,65.83
2026-04-22T18:30:10.896460,Port_Scanning,Information Disclosure,ok,Normal,no,85.62
2026-04-22T18:30:11.530550,SQL_injection,Tampering,ok,Normal,no,108.72
2026-04-22T18:30:12.109225,XSS,Tampering,ok,Normal,no,57.88
2026-04-22T18:30:12.716174,Backdoor,Elevation of Privilege,ok,Normal,no,76.99
2026-04-22T18:30:13.300252,DDoS_HTTP,Denial of Service,ok,Normal,no,62.85
2026-04-22T18:30:13.883373,MITM,Tampering,ok,MITM,yes,60.51
2026-04-22T18:30:14.461469,Port_Scanning,Information Disclosure,ok,Normal,no,57.29
2026-04-22T18:30:15.047670,SQL_injection,Tampering,ok,Normal,no,66.91
2026-04-22T18:30:15.633139,XSS,Tampering,ok,Normal,no,64.25
2026-04-22T18:30:16.218175,Backdoor,Elevation of Privilege,ok,Normal,no,65.72
2026-04-22T18:30:16.832876,DDoS_HTTP,Denial of Service,ok,Normal,no,93.23
2026-04-22T18:30:17.408845,MITM,Tampering,ok,MITM,yes,55.59
2026-04-22T18:30:17.992855,Port_Scanning,Information Disclosure,ok,Normal,no,60.80
2026-04-22T18:30:18.584592,SQL_injection,Tampering,ok,Normal,no,71.28
2026-04-22T18:30:19.149261,XSS,Tampering,ok,Normal,no,34.65
2026-04-22T18:30:19.741472,Backdoor,Elevation of Privilege,ok,Normal,no,70.52
2026-04-22T18:30:20.456873,DDoS_HTTP,Denial of Service,ok,Normal,no,187.06
2026-04-22T18:30:21.039388,MITM,Tampering,ok,MITM,yes,63.29
2026-04-22T18:30:21.664826,Port_Scanning,Information Disclosure,ok,Normal,no,99.72
2026-04-22T18:30:22.240854,SQL_injection,Tampering,ok,Normal,no,56.07
2026-04-22T18:30:22.853541,XSS,Tampering,ok,Normal,no,91.25
2026-04-22T18:30:23.539380,Backdoor,Elevation of Privilege,ok,Normal,no,58.06
2026-04-22T18:30:24.136787,DDoS_HTTP,Denial of Service,ok,Normal,no,74.71
2026-04-22T18:30:24.725006,MITM,Tampering,ok,MITM,yes,68.28
2026-04-22T18:30:25.303238,Port_Scanning,Information Disclosure,ok,Normal,no,56.95
2026-04-22T18:30:25.906188,SQL_injection,Tampering,ok,Normal,no,74.06
2026-04-22T18:30:26.491946,XSS,Tampering,ok,Normal,no,63.05
2026-04-22T18:30:27.206060,Backdoor,Elevation of Privilege,ok,Normal,no,57.69
2026-04-22T18:30:27.803008,DDoS_HTTP,Denial of Service,ok,Normal,no,73.69
